DateOfCall,FirstPumpArriving_AttendanceTime
29/10/2019,309.3563636
30/10/2019,298.1755102
31/10/2019,318.3322259
01/11/2019,315.24
02/11/2019,318.8878505
03/11/2019,285.7061069
04/11/2019,317.9097473
05/11/2019,331.2072368
06/11/2019,316.5574913
07/11/2019,305.7091633
08/11/2019,326.8512658
09/11/2019,312.7012579
10/11/2019,304.6571429
11/11/2019,311.4085603
12/11/2019,300.9656357
13/11/2019,322.2117647
14/11/2019,312.906015
15/11/2019,319.8763251
16/11/2019,297.5577558
17/11/2019,318.9777778
18/11/2019,310.6226415
19/11/2019,306.7773973
20/11/2019,313.59375
21/11/2019,320.641115
22/11/2019,308.0915751
23/11/2019,306.8888889
24/11/2019,309.4067797
25/11/2019,299.9117647
26/11/2019,322.1842105
27/11/2019,319.7262357
28/11/2019,319.9224806
29/11/2019,321.2953737
30/11/2019,314.4495114
01/12/2019,314.8671587
02/12/2019,312.5064516
03/12/2019,321.8076923
04/12/2019,334.7147436
05/12/2019,327.6459854
06/12/2019,319.5703422
07/12/2019,304.9057239
08/12/2019,298.7951807
09/12/2019,316.527027
10/12/2019,329.7038462
11/12/2019,312.7391304
12/12/2019,341.3929961
13/12/2019,337.0708955
14/12/2019,321.0618182
